City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Norman Wells,65.282,-126.8329,55.44,76,75,10.36,CA,2021-07-26 14:51:20
1,Jamestown,42.097,-79.2353,80.29,73,1,8.05,US,2021-07-26 14:50:37
2,Tuktoyaktuk,69.4541,-133.0374,44.6,87,90,6.91,CA,2021-07-26 14:51:26
3,Lata,40.1629,-8.3327,83.35,35,0,13.42,PT,2021-07-26 14:51:27
4,Puerto Ayora,-0.7393,-90.3518,73.54,85,96,7.0,EC,2021-07-26 14:51:07
5,Ascension,30.2169,-90.9001,90.03,78,18,3.06,US,2021-07-26 14:51:27
6,Savinskiy,62.9342,40.1361,63.84,49,41,10.25,RU,2021-07-26 14:51:27
7,Thompson,55.7435,-97.8558,57.36,58,20,3.44,CA,2021-07-26 14:55:44
8,Inuvik,68.3499,-133.7218,53.64,90,75,1.14,CA,2021-07-26 14:55:44
9,Birjand,32.8663,59.2211,93.67,11,45,28.77,IR,2021-07-26 14:51:29
10,Vaini,-21.2,-175.2,75.0,80,69,3.09,TO,2021-07-26 14:55:45
11,Rikitea,-23.1203,-134.9692,73.2,76,21,15.19,PF,2021-07-26 14:51:29
12,Juegang,32.3174,121.1855,78.73,92,100,26.87,CN,2021-07-26 14:55:45
13,Maldonado,-34.6667,-54.9167,51.22,70,32,9.46,UY,2021-07-26 14:51:30
14,Porto Novo,6.4965,2.6036,82.22,67,90,12.44,BJ,2021-07-26 14:55:46
15,Butaritari,3.0707,172.7902,81.5,75,100,8.21,KI,2021-07-26 14:51:43
16,Anadyr,64.75,177.4833,52.3,87,75,4.0,RU,2021-07-26 14:55:46
17,Labuhan,-6.8844,112.2051,77.04,73,1,9.01,ID,2021-07-26 14:55:47
18,Mahebourg,-20.4081,57.7,68.29,88,75,6.91,MU,2021-07-26 14:51:31
19,Busselton,-33.65,115.3333,57.09,67,62,29.44,AU,2021-07-26 14:51:31
20,Bluff,-46.6,168.3333,46.8,75,98,14.34,NZ,2021-07-26 14:51:01
21,Kushima,31.4583,131.2333,76.73,90,82,3.87,JP,2021-07-26 14:51:32
22,Luderitz,-26.6481,15.1594,70.66,43,1,9.69,NA,2021-07-26 14:51:32
23,Bafoulabe,13.8065,-10.8321,95.54,44,61,6.11,ML,2021-07-26 14:51:32
24,Coahuayana,18.7333,-103.6833,84.36,71,76,1.25,MX,2021-07-26 14:51:33
25,Dongsheng,39.8161,109.9776,70.41,55,0,7.11,CN,2021-07-26 14:51:33
26,Evans,33.5337,-82.1307,87.01,57,1,1.99,US,2021-07-26 14:47:17
27,Mataura,-46.1927,168.8643,46.47,98,99,4.0,NZ,2021-07-26 14:51:33
28,Bredasdorp,-34.5322,20.0403,76.32,23,70,12.66,ZA,2021-07-26 14:51:34
29,Touros,-5.1989,-35.4608,79.7,60,24,18.81,BR,2021-07-26 14:47:43
30,Mackay,-21.15,149.2,57.04,93,32,5.75,AU,2021-07-26 14:51:34
31,Barahona,18.2085,-71.1008,87.62,66,40,0.0,DO,2021-07-26 14:51:34
